,data,godzina,dom,-,wyjazd,wynik,pusta
165,,19:00,Zagłębie Lubin,-,Legia Warszawa,1:2 (0:1),
166,05/02/2023,11:30,Radomiak Radom,-,FKS Stal Mielec,1:0 (1:0),
167,,14:00,Lech Poznań,-,Miedź Legnica,1:0 (1:0),
168,,16:30,Pogoń Szczecin,-,Śląsk Wrocław,0:2 (0:0),
169,06/02/2023,18:00,Korona Kielce,-,KS Cracovia,2:1 (1:0),
170,08/03/2023,17:45,Wisła Płock,-,Warta Poznań,1:0 (0:0),
171,10/02/2023,17:00,FKS Stal Mielec,-,Raków Częstochowa,0:0 (0:0),
172,,19:30,Lechia Gdańsk,-,Widzew Łódź,0:0 (0:0),
173,11/02/2023,14:00,Śląsk Wrocław,-,Korona Kielce,1:1 (0:0),
174,,16:30,Wisła Płock,-,Lech Poznań,0:1 (0:1),
175,,19:00,Jagiellonia Białystok,-,Pogoń Szczecin,2:0 (0:0),
176,12/02/2023,11:30,Zagłębie Lubin,-,Piast Gliwice,0:2 (0:2),
177,,14:00,Górnik Zabrze,-,Radomiak Radom,0:0 (0:0),
178,,16:30,Legia Warszawa,-,KS Cracovia,2:2 (0:1),
179,13/02/2023,18:00,Warta Poznań,-,Miedź Legnica,1:1 (0:0),
180,17/02/2023,17:00,KS Cracovia,-,FKS Stal Mielec,2:1 (0:1),
181,,19:30,Widzew Łódź,-,Śląsk Wrocław,1:0 (0:0),
182,18/02/2023,14:00,Korona Kielce,-,Lechia Gdańsk,1:0 (1:0),
183,,16:30,Raków Częstochowa,-,Górnik Zabrze,2:0 (1:0),
184,,19:00,Pogoń Szczecin,-,Warta Poznań,3:1 (1:1),
185,19/02/2023,11:30,Miedź Legnica,-,Wisła Płock,2:1 (1:1),
186,,14:00,Lech Poznań,-,Zagłębie Lubin,1:2 (1:2),
187,,16:30,Piast Gliwice,-,Legia Warszawa,0:1 (0:0),
188,20/02/2023,18:00,Radomiak Radom,-,Jagiellonia Białystok,0:0 (0:0),
189,24/02/2023,17:00,Jagiellonia Białystok,-,Raków Częstochowa,1:2 (1:1),
190,,19:30,Legia Warszawa,-,Widzew Łódź,2:2 (1:0),
191,25/02/2023,14:00,Piast Gliwice,-,KS Cracovia,2:1 (0:0),
192,,16:30,Warta Poznań,-,Korona Kielce,5:1 (3:0),
193,,19:00,Lechia Gdańsk,-,Radomiak Radom,1:3 (0:2),
194,26/02/2023,11:30,FKS Stal Mielec,-,Górnik Zabrze,0:1 (0:0),
195,,14:00,Wisła Płock,-,Pogoń Szczecin,0:1 (0:0),
196,,16:30,Śląsk Wrocław,-,Lech Poznań,2:1 (1:0),
197,27/02/2023,18:00,Zagłębie Lubin,-,Miedź Legnica,2:1 (0:0),
198,03/03/2023,17:00,FKS Stal Mielec,-,Piast Gliwice,0:2 (0:0),
199,,19:30,Lech Poznań,-,Lechia Gdańsk,5:0 (2:0),
