,data,godzina,dom,-,wyjazd,wynik,pusta
107,01/08/2016,17:00,Pogoń Szczecin,-,Śląsk Wrocław,0:2 (0:2),
108,05/08/2016,17:00,Jagiellonia Białystok,-,Arka Gdynia,4:1 (2:0),
109,,19:30,KS Cracovia,-,Wisła Kraków,2:1 (2:0),
110,06/08/2016,14:30,Bruk-Bet Termalica Nieciecza,-,Górnik Łęczna,2:1 (1:0),
111,,17:00,Śląsk Wrocław,-,Lechia Gdańsk,0:0 (0:0),
112,,19:30,Korona Kielce,-,Lech Poznań,4:1 (1:1),
113,07/08/2016,14:30,Zagłębie Lubin,-,Pogoń Szczecin,1:1 (0:0),
114,,17:00,Legia Warszawa,-,Piast Gliwice,0:0 (0:0),
115,08/08/2016,17:00,Ruch Chorzów,-,Wisła Płock,2:2 (1:1),
116,12/08/2016,17:00,Lechia Gdańsk,-,Korona Kielce,3:2 (2:1),
117,,19:30,Lech Poznań,-,KS Cracovia,2:1 (0:0),
118,13/08/2016,14:30,Arka Gdynia,-,Śląsk Wrocław,2:0 (1:0),
119,,17:00,Górnik Łęczna,-,Legia Warszawa,1:0 (0:0),
120,,19:30,Pogoń Szczecin,-,Bruk-Bet Termalica Nieciecza,5:0 (1:0),
121,14/08/2016,14:30,Piast Gliwice,-,Zagłębie Lubin,0:0 (0:0),
122,,17:00,Wisła Kraków,-,Ruch Chorzów,1:2 (1:1),
123,15/08/2016,17:00,Wisła Płock,-,Jagiellonia Białystok,1:0 (1:0),
124,19/08/2016,17:00,Śląsk Wrocław,-,Wisła Płock,0:0 (0:0),
125,,19:30,Bruk-Bet Termalica Nieciecza,-,Lech Poznań,0:0 (0:0),
126,20/08/2016,14:30,KS Cracovia,-,Ruch Chorzów,1:1 (0:1),
127,,17:00,Piast Gliwice,-,Pogoń Szczecin,0:2 (0:1),
128,,19:30,Legia Warszawa,-,Arka Gdynia,1:3 (0:2),
129,21/08/2016,14:30,Zagłębie Lubin,-,Górnik Łęczna,0:0 (0:0),
130,,17:00,Jagiellonia Białystok,-,Lechia Gdańsk,0:1 (0:0),
131,22/08/2016,17:00,Korona Kielce,-,Wisła Kraków,1:0 (0:0),
132,26/08/2016,17:00,Wisła Płock,-,Korona Kielce,1:2 (0:0),
